buildtheworld 11747ea7 add_default_branch.py:13 magic-argument note
curl 81ade541 tests/unit/unit1654.c:165 goto note
curl c3c70440 tests/libtest/lib1978.c:93 goto note
curl c7c42afa lib/file.c:658 goto note
curl ddb22d12 tests/libtest/lib5000.c:53 goto note
curl ddb22d12 tests/libtest/lib5004.c:61 goto note
curl ddb22d12 tests/libtest/lib5004.c:80 goto note
curl e9b291cf lib/headers.c:102 goto note
curl e9b291cf lib/headers.c:160 goto note
curl e9b291cf lib/headers.c:165 goto note
curl e9b291cf lib/headers.c:185 goto note
curl e9b291cf lib/headers.c:66 goto note
curl e9b291cf lib/headers.c:80 goto note
curl f2c03b1c lib/vquic/cf-ngtcp2.c:866 goto note
curl f30d9ef3 tests/libtest/lib1985.c:34 goto note
excalidraw 0457ac90 packages/excalidraw/tests/data/restore.test.ts:163 any note
excalidraw 0457ac90 packages/excalidraw/tests/data/restore.test.ts:436 any note
excalidraw 063533ae packages/excalidraw/components/FontPicker/FontPicker.test.tsx:1 any note
excalidraw 063e0256 packages/excalidraw/tests/scene/export.test.ts:243 any note
excalidraw 1acf66ed packages/excalidraw/wysiwyg/textWysiwyg.test.tsx:2074 any note
excalidraw 1c292e49 packages/math/tests/segment.test.ts:26 any note
excalidraw 204e06b7 packages/common/src/utils.ts:1283 any note
excalidraw 204e06b7 packages/excalidraw/components/Actions.tsx:308 any note
excalidraw 20f694d1 packages/excalidraw/tests/data/restore.test.ts:529 any note
excalidraw 21dd1cfa packages/common/src/appEventBus.ts:28 any note
excalidraw 21dd1cfa packages/common/src/appEventBus.ts:32 any note
excalidraw 21dd1cfa packages/common/src/appEventBus.ts:42 any note
excalidraw 21dd1cfa packages/common/src/appEventBus.ts:51 any note
excalidraw 21dd1cfa packages/excalidraw/actions/actionExport.tsx:236 any note
excalidraw 21dd1cfa packages/excalidraw/components/App.tsx:2171 any note
excalidraw 21dd1cfa packages/excalidraw/components/AppStateObserver.ts:137 any note
excalidraw 21dd1cfa packages/excalidraw/components/AppStateObserver.ts:16 any note
excalidraw 21dd1cfa packages/excalidraw/components/AppStateObserver.ts:31 any note
excalidraw 21dd1cfa packages/excalidraw/components/AppStateObserver.ts:86 any note
excalidraw 21dd1cfa packages/excalidraw/hooks/useAppStateValue.ts:43 any note
excalidraw 21dd1cfa packages/excalidraw/hooks/useAppStateValue.ts:53 any note
excalidraw 21dd1cfa packages/excalidraw/index.tsx:379 any note
excalidraw 21dd1cfa packages/excalidraw/tests/packages/events.test.tsx:24 any note
excalidraw 21dd1cfa packages/excalidraw/tests/tool.test.tsx:23 any note
excalidraw 2423819e packages/excalidraw/components/App.tsx:3659 any note
excalidraw 2b454022 packages/excalidraw/renderer/animation.ts:8 any note
excalidraw 339d3c37 packages/excalidraw/components/IconButton.tsx:79 any note
excalidraw 339d3c37 packages/excalidraw/components/MobileToolbar.tsx:39 any note
excalidraw 339d3c37 packages/excalidraw/components/ToolPopover.tsx:100 any note
excalidraw 339d3c37 packages/excalidraw/components/Toolbar.tsx:166 any note
excalidraw 339d3c37 packages/excalidraw/components/Toolbar.tsx:48 any note
excalidraw 339d3c37 packages/excalidraw/components/Tools.tsx:325 any note
excalidraw 3b97f5a1 packages/element/src/visualdebug.ts:224 any note
excalidraw 3bdaafe4 packages/excalidraw/components/App.tsx:10418 any note
excalidraw 3bdaafe4 packages/excalidraw/components/App.tsx:10489 any note
excalidraw 3bdaafe4 packages/excalidraw/components/App.tsx:3070 any note
excalidraw 3bdaafe4 packages/excalidraw/data/blob.ts:441 any note
excalidraw 3bdaafe4 packages/excalidraw/tests/helpers/api.ts:484 any note
excalidraw 416e8b3e packages/excalidraw/components/Actions.tsx:1039 any note
excalidraw 416e8b3e packages/excalidraw/components/Actions.tsx:330 any note
excalidraw 416e8b3e packages/excalidraw/components/Actions.tsx:435 any note
excalidraw 416e8b3e packages/excalidraw/components/Actions.tsx:599 any note
excalidraw 416e8b3e packages/excalidraw/components/Actions.tsx:778 any note
excalidraw 416e8b3e packages/excalidraw/components/Actions.tsx:887 any note
excalidraw 416e8b3e packages/excalidraw/components/MobileToolBar.tsx:84 any note
excalidraw 416e8b3e packages/excalidraw/components/ToolPopover.tsx:36 any note
excalidraw 416e8b3e packages/excalidraw/components/dropdownMenu/DropdownMenu.tsx:28 any note
excalidraw 47cbb5b6 packages/common/src/editorInterface.ts:54 any note
excalidraw 47cbb5b6 packages/common/src/editorInterface.ts:82 any note
excalidraw 51ca8abd packages/excalidraw/components/App.tsx:2193 any note
excalidraw 5bcd8280 excalidraw-app/components/AppSidebar.tsx:11 any note
excalidraw 5ca08343 packages/excalidraw/tests/tool.test.tsx:278 any note
excalidraw 5fffc474 packages/excalidraw/components/dropdownMenu/DropdownMenuContent.tsx:77 any note
excalidraw 65aa577e packages/excalidraw/renderer/animation.ts:8 any note
excalidraw 6c908553 packages/common/src/utils.ts:1172 any note
excalidraw 757dfeb6 packages/common/src/utils.ts:154 any note
excalidraw 786ab266 packages/excalidraw/tests/colorInput.test.tsx:121 any note
excalidraw 786ab266 packages/excalidraw/tests/colorInput.test.tsx:129 any note
excalidraw 792ea3a0 packages/element/tests/bucketFill.test.ts:148 any note
excalidraw 792ea3a0 packages/excalidraw/tests/bucketFill.test.tsx:131 any note
excalidraw 792ea3a0 packages/excalidraw/tests/bucketFill.test.tsx:31 any note
excalidraw 7ea3229e packages/element/src/binding.ts:2450 any note
excalidraw 816c81c1 packages/excalidraw/tests/data/restore.test.ts:203 any note
excalidraw 835eb8d2 excalidraw-app/data/LocalData.ts:110 any note
excalidraw 84a309d6 packages/excalidraw/components/TTDDialog/hooks/useTextGeneration.ts:193 any note
excalidraw 85270fcc packages/excalidraw/components/UserList.tsx:333 any note
excalidraw 8fb16669 packages/common/src/visualdebug.ts:134 any note
excalidraw 92d25446 packages/excalidraw/components/App.tsx:3107 any note
excalidraw 92d25446 packages/excalidraw/hooks/useAppStateValue.ts:113 any note
excalidraw 92d25446 packages/excalidraw/index.tsx:421 any note
excalidraw a0b98a94 packages/excalidraw/components/TTDDialog/useTTDChatStorage.ts:22 any note
excalidraw a0b98a94 packages/excalidraw/components/TTDDialog/useTTDChatStorage.ts:30 any note
excalidraw a0b98a94 packages/excalidraw/components/TTDDialog/utils/TTDStreamFetch.ts:87 any note
excalidraw a0b98a94 packages/excalidraw/errors.ts:72 any note
excalidraw a0e93b60 packages/excalidraw/components/ImageExportDialog.tsx:145 any note
excalidraw a0e93b60 packages/excalidraw/tests/excalidraw.test.tsx:315 any note
excalidraw a8acc821 packages/excalidraw/data/blob.ts:468 any note
excalidraw a8acc821 packages/excalidraw/data/blob.ts:487 any note
excalidraw aaa14e9d packages/excalidraw/tests/cursorHint.test.tsx:118 any note
excalidraw abeeaeba packages/excalidraw/tests/colorTopPicks.test.ts:1 any note
excalidraw ae896089 packages/element/tests/textElement.test.ts:216 any note
excalidraw b0404b10 packages/common/debug.ts:129 any note
excalidraw b0404b10 packages/common/debug.ts:141 any note
excalidraw b552c607 packages/element/src/arrows/focus.ts:190 any note
excalidraw b552c607 packages/excalidraw/components/App.tsx:6948 any note
excalidraw b552c607 packages/excalidraw/components/App.tsx:7900 any note
excalidraw b9a25540 packages/excalidraw/components/Card.tsx:30 any note
excalidraw b9d27d30 packages/excalidraw/tests/helpers/api.ts:495 any note
excalidraw c1415004 packages/utils/src/visualdebug.ts:134 any note
excalidraw c141960a packages/common/src/utils.ts:1270 empty-catch verdict
excalidraw c141960a packages/element/src/mutateElement.ts:49 any note
excalidraw c141960a packages/element/tests/binding.test.tsx:386 any note
excalidraw c141960a packages/excalidraw/actions/actionProperties.tsx:886 any note
excalidraw c141960a packages/excalidraw/actions/register.ts:5 any note
excalidraw c141960a packages/excalidraw/actions/types.ts:160 any note
excalidraw c141960a packages/excalidraw/actions/types.ts:35 any note
excalidraw c141960a packages/excalidraw/components/App.tsx:12115 any note
excalidraw cd514d72 packages/excalidraw/data/restore.ts:1102 any note
excalidraw cd514d72 packages/excalidraw/tests/data/restore.test.ts:196 any note
excalidraw cd514d72 packages/excalidraw/tests/data/restore.test.ts:690 any note
excalidraw cd514d72 packages/excalidraw/tests/data/restore.test.ts:753 any note
excalidraw e1bb9ff8 packages/excalidraw/components/App.tsx:3482 any note
excalidraw e1bb9ff8 packages/excalidraw/components/App.tsx:3834 any note
excalidraw e33a1c0e packages/excalidraw/components/UserList.test.tsx:17 any note
excalidraw e95222ed packages/element/src/transform.ts:509 any note
excalidraw eb959128 packages/common/src/utils.ts:1335 any note
excalidraw ec070911 packages/common/src/utils.ts:125 any note
excalidraw f0458cc2 packages/element/src/shape.ts:605 any note
excalidraw f5cf81ce packages/excalidraw/clipboard.ts:644 any note
excalidraw f790bf7a excalidraw-app/components/AppSidebar.tsx:113 any note
excalidraw f790bf7a excalidraw-app/components/AppSidebar.tsx:92 any note
execa 15ab4e6e lib/convert/loop.js:28 empty-catch verdict
execa 18d320f9 test/fixtures/nested-pipe-subprocess.js:14 empty-catch verdict
execa 1a47ea2c lib/pipe/streaming.js:36 empty-catch verdict
execa 1a47ea2c lib/pipe/streaming.js:50 empty-catch verdict
execa 4b2e316e lib/io/iterate.js:21 empty-catch verdict
execa 4b2e316e lib/io/pipeline.js:1 empty-catch verdict
execa 4b2e316e lib/terminate/kill.js:58 empty-catch verdict
execa 4cafc3f7 lib/arguments/command-file.js:78 empty-catch verdict
execa 56ee48ed lib/convert/loop.js:20 empty-catch verdict
execa 5aa90bdf lib/stdio/pipeline.js:1 empty-catch verdict
execa 5abc4292 lib/stdio/pipeline.js:19 empty-catch verdict
execa 5abc4292 lib/stdio/pipeline.js:37 empty-catch verdict
execa 666f7f9d lib/convert/readable.js:53 empty-catch verdict
execa 666f7f9d lib/convert/readable.js:68 empty-catch verdict
execa 666f7f9d lib/convert/shared.js:1 empty-catch verdict
execa 672c2d7e lib/exit/kill.js:58 empty-catch verdict
execa 8daf3484 test/fixtures/noop-verbose.js:1 empty-catch verdict
execa acc2b685 lib/ipc/get-each.js:1 empty-catch verdict
execa d6f5d9a5 lib/ipc/get-each.js:39 empty-catch verdict
execa d6f5d9a5 lib/ipc/get-each.js:47 empty-catch verdict
execa d8190e5a test/helpers/graceful.js:1 empty-catch verdict
execa e085b108 lib/ipc/get-each.js:55 empty-catch verdict
execa e2903e99 test-d/return/result-main.test-d.ts:56 any note
execa e2903e99 test-d/return/result-main.test-d.ts:78 any note
execa e69985dd test/terminate/kill-force.js:188 empty-catch verdict
lazy 5b15bc9f lua/lazy/community/_generated.lua:2 hardcoded-version warn
openfoam 08477d77 src/Lagrangian/Lagrangian/LagrangianEqn/LagrangianSp.C:98 raw-new-delete note
openfoam 08477d77 src/OpenFOAM/fields/fieldTypes.H:58 function-macro note
openfoam 08477d77 src/finiteVolume/finiteVolume/fvm/fvmSup.C:157 raw-new-delete note
openfoam 08477d77 src/finiteVolume/finiteVolume/fvm/fvmSup.C:289 raw-new-delete note
openfoam 08477d77 src/finiteVolume/finiteVolume/fvm/fvmSup.C:58 raw-new-delete note
openfoam 08477d77 src/finiteVolume/fvMatrices/fvMatrix/fvMatrix.C:1717 raw-new-delete note
openfoam 08477d77 src/finiteVolume/fvMatrices/fvMatrix/fvMatrix.C:1967 raw-new-delete note
openfoam 08477d77 src/finiteVolume/fvMatrices/fvMatrix/fvMatrix.C:2093 raw-new-delete note
openfoam 08477d77 src/finiteVolume/fvMatrices/fvMatrix/fvMatrix.C:2274 raw-new-delete note
openfoam 08477d77 src/finiteVolume/fvMatrices/fvMatrix/fvMatrix.C:2401 raw-new-delete note
openfoam 08477d77 src/finiteVolume/fvMatrices/fvMatrix/fvMatrix.C:2640 raw-new-delete note
openfoam 08477d77 src/finiteVolume/fvMatrices/fvMatrix/fvMatrix.C:2761 raw-new-delete note
openfoam 0d7fa291 applications/modules/multiphaseEuler/compressibilityEqns.C:52 raw-new-delete note
openfoam 0d7fa291 applications/modules/multiphaseEuler/phaseSystem/heatTransferSystem/heatTransferSystem.C:281 raw-new-delete note
openfoam 0d7fa291 applications/modules/multiphaseEuler/phaseSystem/phaseModels/InertPhaseModel/InertPhaseModel.C:81 raw-new-delete note
openfoam 0d7fa291 applications/modules/multiphaseEuler/populationBalance/populationBalanceSystem/populationBalanceSystem.C:285 raw-new-delete note
openfoam 2a156443 src/finiteVolume/cfdTools/general/MRF/MRFZones.C:91 raw-new-delete note
openfoam 2ec91f84 applications/modules/VoFSolver/VoFSolver.C:240 raw-new-delete note
openfoam 2ec91f84 applications/modules/VoFSolver/moveMesh.C:45 raw-new-delete note
openfoam 2ec91f84 applications/modules/isothermalFluid/isothermalFluid.C:306 raw-new-delete note
openfoam 2ec91f84 applications/modules/multiphaseEuler/moveMesh.C:44 raw-new-delete note
openfoam 2ec91f84 applications/modules/multiphaseEuler/multiphaseEuler.C:221 raw-new-delete note
openfoam 2ec91f84 src/MomentumTransportModels/phaseCompressible/RAS/mixtureKEpsilon/mixtureKEpsilon.C:566 raw-new-delete note
openfoam 2ec91f84 src/MomentumTransportModels/phaseCompressible/RAS/mixtureKEpsilon/mixtureKEpsilon.C:586 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/fvModels/heatTransferLimitedPhaseChange/heatTransferLimitedPhaseChange.C:72 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/fvModels/massDiffusionLimitedPhaseChange/massDiffusionLimitedPhaseChange.C:223 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/fvModels/massDiffusionLimitedPhaseChange/massDiffusionLimitedPhaseChange.C:239 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/phaseSystem/phaseSystem/phaseSystemSolve.C:183 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/phaseSystem/phaseSystem/phaseSystemSolve.C:199 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/coalescenceModels/PrinceBlanch/PrinceBlanch.C:72 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/derivedFvFieldSources/growthGroupFraction/growthGroupFractionFvScalarFieldSource.C:62 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/populationBalanceModel/populationBalanceModel.C:874 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/populationBalanceModel/populationBalanceModel.C:890 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/populationBalanceModel/populationBalanceModel.C:923 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/populationBalanceModel/populationBalanceModel.C:943 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/populationBalanceModel/populationBalanceModel.C:963 raw-new-delete note
openfoam 42cfa695 applications/modules/multiphaseEuler/populationBalance/shapeModels/fractal/fractal.C:135 raw-new-delete note
openfoam 42cfa695 src/fvConstraints/zeroDimensionalFixedPressure/zeroDimensionalFixedPressureConstraint.C:258 raw-new-delete note
openfoam 42cfa695 src/fvModels/propellerDisk/propellerDiskTemplates.C:49 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/MomentumCloud/MomentumCloud.C:339 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/MomentumCloud/MomentumCloud.C:355 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/MomentumCloud/MomentumCloud.C:434 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/MomentumCloud/MomentumCloud.C:450 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ReactingCloud/ReactingCloud.C:110 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ReactingCloud/ReactingCloud.C:152 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:106 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:171 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:187 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:240 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:256 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:275 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:292 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:309 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:72 raw-new-delete note
openfoam 42cfa695 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloud.C:89 raw-new-delete note
openfoam 42cfa695 src/thermophysicalModels/chemistryModel/Standard/Standard_chemistryModel.C:76 raw-new-delete note
openfoam 42fff1e5 src/finiteVolume/fields/PtrFields/PtrField.C:174 raw-new-delete note
openfoam 42fff1e5 src/finiteVolume/fields/PtrFields/PtrField.C:219 function-macro note
openfoam 42fff1e5 src/finiteVolume/fields/PtrFields/PtrField.C:62 const-cast note
openfoam 42fff1e5 src/finiteVolume/fields/PtrFields/PtrField.C:94 raw-new-delete note
openfoam 436c795e applications/test/Function1/Test-Function1.C:80 raw-new-delete note
openfoam 436c795e src/OpenFOAM/primitives/functions/Function1/Function1/Function1.C:111 raw-new-delete note
openfoam 468c42df src/OpenFOAM/db/objectRegistry/objectRegistryTemplates.C:240 const-cast note
openfoam 51230005 src/radiationModels/radiationModels/fvDOM/radiativeIntensityRay/radiativeIntensityRay.C:195 raw-new-delete note
openfoam 51ac9f27 src/finiteVolume/fields/fvPatchFields/derived/timeVaryingMappedFixedValue/timeVaryingMappedPoints.C:245 raw-new-delete note
openfoam 5fb66851 src/polyTopoChange/polyTopoChange/hexRef8/hexRef8Data.C:95 raw-new-delete note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/smoothers/GaussSeidel/GaussSeidelSmoother.C:110 const-cast note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/smoothers/nonBlockingGaussSeidel/nonBlockingGaussSeidelSmoother.C:137 const-cast note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/smoothers/symGaussSeidel/symGaussSeidelSmoother.C:110 const-cast note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/solvers/GAMG/GAMGSolverAgglomerateMatrix.C:107 raw-new-delete note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/solvers/GAMG/GAMGSolverAgglomerateMatrix.C:331 raw-new-delete note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/solvers/GAMG/GAMGSolverAgglomerateMatrix.C:336 raw-new-delete note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/solvers/GAMG/GAMGSolverAgglomerateMatrix.C:717 raw-new-delete note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/solvers/GAMG/GAMGSolverAgglomerateMatrix.C:721 raw-new-delete note
openfoam 627e2f90 src/OpenFOAM/matrices/lduMatrix/solvers/GAMG/GAMGSolverAgglomerateMatrix.C:98 raw-new-delete note
openfoam 627e2f90 src/finiteVolume/fvMatrices/fvMatrix/fvMatrixSolve.C:234 const-cast note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/MomentumCloud/MomentumCloudI.H:453 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/MomentumCloud/MomentumCloudI.H:462 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/ReactingCloud/ReactingCloudI.H:130 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/ReactingCloud/ReactingCloudI.H:142 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/ReactingCloud/ReactingCloudI.H:211 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/ReactingCloud/ReactingCloudI.H:238 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloudI.H:276 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/clouds/Templates/ThermoCloud/ThermoCloudI.H:288 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/parcelCloud/ParcelCloudBase.H:147 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/parcelCloud/ParcelCloudBase.H:181 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/parcelCloud/parcelCloudList.C:184 raw-new-delete note
openfoam 724ebc64 src/lagrangian/parcel/parcelCloud/parcelCloudList.C:239 raw-new-delete note
openfoam 737ba099 applications/utilities/postProcessing/graphics/PVReaders/vtkPVFoam/vtkPVFoam.C:438 raw-new-delete note
openfoam 76c5758c src/atmosphericModels/DimensionedFieldFunctions/makeDimensionedFieldFunctions.C:36 function-macro note
openfoam 84214cde src/OpenFOAM/fields/Field/Field.C:714 function-macro note
openfoam 84333c37 src/lagrangian/parcel/submodels/MPPIC/ParticleStressModels/ParticleStressModel/ParticleStressModel.C:112 raw-new-delete note
openfoam 8afa9c90 src/OpenFOAM/global/fileOperations/fileOperation/fileOperation.C:723 lambda-ref-capture note
openfoam 8afa9c90 src/OpenFOAM/global/fileOperations/masterUncollatedFileOperation/masterUncollatedFileOperation.C:1150 c-style-cast note
openfoam 8afa9c90 src/OpenFOAM/global/fileOperations/masterUncollatedFileOperation/masterUncollatedFileOperation.C:2125 c-style-cast note
openfoam 95ec15f8 src/finiteVolume/interpolation/surfaceInterpolation/surfaceInterpolation/surfaceInterpolate.C:280 raw-new-delete note
openfoam 994ed6c0 src/Lagrangian/Lagrangian/fields/toSubFieldTemplates.C:131 raw-new-delete note
openfoam 994ed6c0 src/Lagrangian/LagrangianThermo/LagrangianThermos/makeLagrangianThermo.H:30 function-macro note
